DATA;PDV; FANTASIA ;MODALIDADE;POPULAR;CDC;APROVADAS;NEGADAS;RESTRICOES;PENDENTE;CANCELADAS;PRÉ CADASTRO;TOTAL
12/12/2024;87895; DEPOSITO CARRARO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
12/12/2024;87906; TECNOCELL - CASTELO DE SONHOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
12/12/2024;87907; SMART MAN ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
12/12/2024;87908; A NOSSA LOJA - CASTELO DE SONHOS ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
13/12/2024;87942; MOVEIS DA FAMILIA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
13/12/2024;87949; AF IMPORTS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
16/12/2024;87978; RADICAL MOTOS - CASTELO DE SONHOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
17/12/2024;87998; SUZANA MAGAZINE ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
18/12/2024;88029; ODONTO B ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
19/12/2024;88058; MERCADO CACHOEIRA ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
26/12/2024;88180; BALAO MAGICO - CASTELO DE SONHOS ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
16/01/2025;88625; RALLY MOTO PECAS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
22/01/2025;88730; TON MOTOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
22/01/2025;88740; TELECELL - PARANAITA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
27/01/2025;88859; PRIMECELL - CARLINDA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
29/01/2025;88895; X-CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
30/01/2025;88922; CASTLE ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
07/02/2025;89159; NOTE CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
10/02/2025;89195; VIDAL CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
12/02/2025;89228; LARANJA AMARELA ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
12/02/2025;89257; MERCADO DO POVO - CENTRO ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
13/02/2025;89298; OUZUSE ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
19/02/2025;89412; TROQUE JA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
19/02/2025;89383; COMERCIAL GOIAS - FILIAL 3 ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
20/02/2025;89426; COMERCIAL GOIAS- FILIAL 2 ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
20/02/2025;89439; MEGA CAPAS- FILIAL 2 ;CDC;0;R$ 0,00;0;3;7;0;0;2;12
20/02/2025;89450; VITORIA MATERIAL PARA CONSTRUCAO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
24/02/2025;89495; MOLINARI ELETRO E CELULARES ;CDC;0;R$ 0,00;1;5;2;0;0;0;8
25/02/2025;89513; PETRONIO MOVEIS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
25/02/2025;89592; IMPERIAL STORE ;CDC;0;R$ 0,00;0;0;0;0;0;1;1
26/02/2025;89596; C7 SMART ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
05/03/2025;89715; PLAY CELL - CENTRO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
14/03/2025;89971; COLCHOES LIDER ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
18/03/2025;90039; CONEXAO TOTAL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
19/03/2025;90070; CONEXAO TOTAL - CENTRO ;CDC;0;R$ 0,00;0;3;0;0;0;1;4
19/03/2025;90082; R 7 CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
21/03/2025;90168; COMERCIAL BAHIA DE JESUS ;POPULAR;0;R$ 0,00;0;0;1;0;0;0;1
21/03/2025;90189; FOTOLANDIA ;CDC;0;R$ 0,00;0;0;1;0;0;0;1
24/03/2025;90208; ON LINE INFORMATICA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
24/03/2025;90217; MERCADAO DOS OCULOS - ARAPOTI ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
25/03/2025;90228; DIGITAL CELULARES E INFORMATICA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
27/03/2025;90297; BOBATO MOVEIS E ELETRO ;CDC;0;R$ 0,00;0;4;2;0;0;0;6
27/03/2025;90284; MILLENNIUM IMPORTS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
28/03/2025;90317; SJ CELULARES ;CDC;0;R$ 2.387,27;1;1;1;0;0;1;4
01/04/2025;90441; TOP CELL - CENTRO ESPERA FELIZ ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
07/04/2025;90881; FOCUS CELULARES ;CDC;0;R$ 2.627,78;2;1;2;0;0;2;7
08/04/2025;90963; TOPCELL - ISRAELANDIA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
11/04/2025;91103; DELTA CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
11/04/2025;91105; OTICAS VISOLUX ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
11/04/2025;91106; OTICAS VISOLUX - CENTRO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
15/04/2025;91153; COMDENT ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
16/04/2025;91409; LEMES COMERCIAL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
16/04/2025;91411; AMAZON CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
16/04/2025;91425; KAIROS PECAS E MOTORES - FILIAL 4 ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
17/04/2025;91454; MOREIRA IMPORTS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
24/04/2025;91603; L. K CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
